天体名称,距离模数,退行速度
SDSSJ023354.13+001650.6,40.67,109014
SDSSJ233759.60+003831.6,40.03,-
SDSSJ235932.26+004413.8,38.59,48671
SDSSJ012606.80+004036.8,40.33,-
SDSSJ205019.78-004931.0,41.02,-
SDSSJ031833.83+000724.1,38.05,-
SDSSJ032922.06-010540.9,40.13,-
SDSSJ205024.61-001004.4,39.11,-
SDSSJ221243.86-000205.7,39.37,-
SDSSJ000928.47+010917.7,41.13,123355
SDSSJ001300.13+001453.6,38.04,36447
SDSSJ001423.59+001959.0,38.63,46951
SDSSJ011135.03-000021.2,40.03,-
SDSSJ215108.69-005034.6,40.31,-
SDSSJ231633.32-003947.5,39.09,56020
SDSSJ021902.54-001622.2,40.06,84068
SDSSJ000713.58+002056.3,39.87,-
SDSSJ001303.73-003712.5,40.2,88561
SDSSJ213115.60-010325.2,40.48,93424
SDSSJ010445.70+003050.1,40.19,92802
SDSSJ204155.88+010531.2,39.79,-
SDSSJ212451.95+002308.2,41.2,-
SDSSJ215216.47+001601.5,39.15,-
SDSSJ235552.64+005237.2,40.26,-
SDSSJ223603.21-002204.5,39.9,-
SDSSJ004524.41+010432.1,39.26,-
SDSSJ021706.20+003205.4,40.3,-
SDSSJ001718.34-001526.1,39.49,-
SDSSJ205644.66+002430.0,41.16,-
SDSSJ213256.12-004159.2,39.02,54174
SDSSJ215218.98+002818.9,39.27,61485
SDSSJ001900.83-001653.4,40.39,-
SDSSJ032821.68-001933.9,39.5,-
SDSSJ020950.39-000342.3,39.26,63828
SDSSJ025040.16-000357.5,40.44,108278
SDSSJ024050.12+005935.3,41.42,-
SDSSJ204019.25-000025.8,40.72,-
SDSSJ231351.60+011525.2,39.96,81816
SDSSJ221355.96+010511.4,40.67,-
SDSSJ235005.02-005517.0,38.99,55924
SDSSJ231120.91-003631.1,41.19,117348
SDSSJ024136.04+001218.1,40.87,-
SDSSJ024456.67+001212.5,41.07,-
SDSSJ222102.64-004454.2,39.37,64591
SDSSJ021404.48-001420.6,37.84,35328
SDSSJ035012.89-001424.9,40.01,-
H-ZSNSJ074855.70+100606.3,40.85,126695
[PDG95]J224418.86+000648.5,40.88,113461
[K95]J025730.70-014119.8,40.01,71944
SDSSJ081906.57+074321.2,41.5,116190
H-ZSNSJ104850.96+000330.4,41.96,170745
H-ZSNSJ082413.33+032458.5,41.06,146754
H-ZSNSJ134556.16+022653.7,41.41,148358
H-ZSNSJ124835.19-004603.0,42.44,196580
H-ZSNSJ153011.25+055527.0,41.55,134948
H-ZSNSJ134827.22+022746.6,41.07,128874
[GC96]J101020.28-123309.2,40.6,128729
[GC96]J120039.43-001602.4,41.78,170774
[GC96A]J115033.54+102646.7,41.7,128832
SCPJ082405.21+041122.6,40.53,95792
SCPJ082352.67+040844.0,42.48,173438
SCPJ104857.61+003150.0,41.12,134771
SCPJ105552.98-035902.3,41.34,174032
SCPJ105731.52-031348.3,41.72,124570
SCPJ134709.90+022357.5,42.83,248790
H-ZSNSJ170748.26+440126.2,41.34,132090
H-ZSNSJ123704.27+622624.9,41.65,150008
H-ZSNSJ045611.63-034126.0,43.21,257733
H-ZSNSJ045856.32-035929.4,41.71,161796
